,age,education-num,income,count
0,17.706106870229007,7.248091603053435,<=50k,785
1,17.706106870229007,7.248091603053435,>50k,1
2,20.080607476635514,9.0,<=50k,1707
3,20.080607476635514,9.0,>50k,5
4,19.320276497695854,10.0,<=50k,1301
5,19.320276497695854,10.0,>50k,1
6,17.51595744680851,5.553191489361702,<=50k,375
7,17.51595744680851,5.553191489361702,>50k,1
8,21.0,10.0,<=50k,568
9,21.0,10.0,>50k,2
10,25.487128712871286,10.0,<=50k,471
11,25.487128712871286,10.0,>50k,34
12,37.0,9.0,<=50k,347
13,37.0,9.0,>50k,94
14,41.4603825136612,9.0,<=50k,584
15,41.4603825136612,9.0,>50k,148
16,37.0,10.505128205128205,<=50k,270
17,37.0,10.505128205128205,>50k,120
18,41.49442896935933,10.440111420612814,<=50k,483
19,41.49442896935933,10.440111420612814,>50k,235
20,42.49408672798949,13.551905387647832,<=50k,308
21,42.49408672798949,13.551905387647832,>50k,453
22,21.098360655737704,4.743169398907104,<=50k,182
23,21.098360655737704,4.743169398907104,>50k,1
24,23.97285067873303,4.479638009049774,<=50k,219
25,23.97285067873303,4.479638009049774,>50k,2
26,27.992753623188406,3.246376811594203,<=50k,137
27,27.992753623188406,3.246376811594203,>50k,1
28,23.0,9.0,<=50k,371
29,23.0,9.0,>50k,5
30,24.0,9.0,<=50k,366
31,24.0,9.0,>50k,10
32,25.0,9.0,<=50k,360
33,25.0,9.0,>50k,13
34,28.0,9.0,<=50k,387
35,28.0,9.0,>50k,31
36,29.0,9.0,<=50k,388
37,29.0,9.0,>50k,39
38,30.0,9.0,<=50k,381
39,30.0,9.0,>50k,48
40,31.0,9.0,<=50k,386
41,31.0,9.0,>50k,63
42,32.0,9.0,<=50k,363
43,32.0,9.0,>50k,61
44,33.0,9.0,<=50k,412
45,33.0,9.0,>50k,61
46,34.0,9.0,<=50k,397
47,34.0,9.0,>50k,66
48,35.492616033755276,9.0,<=50k,789
49,35.492616033755276,9.0,>50k,159
50,22.0,10.0,<=50k,472
51,22.0,10.0,>50k,7
52,23.404195804195805,10.0,<=50k,695
53,23.404195804195805,10.0,>50k,20
54,27.0,10.0,<=50k,249
55,27.0,10.0,>50k,20
56,31.0,10.0,<=50k,233
57,31.0,10.0,>50k,51
58,32.49377593360996,10.0,<=50k,395
59,32.49377593360996,10.0,>50k,87
60,34.0,10.0,<=50k,182
61,34.0,10.0,>50k,74
62,21.203208556149733,11.48663101604278,<=50k,185
63,21.203208556149733,11.48663101604278,>50k,2
64,23.485148514851485,11.490099009900991,<=50k,196
65,23.485148514851485,11.490099009900991,>50k,6
66,25.483870967741936,11.489247311827956,<=50k,167
67,25.483870967741936,11.489247311827956,>50k,19
68,29.0,11.367647058823529,<=50k,112
69,29.0,11.367647058823529,>50k,24
70,30.48739495798319,11.432773109243698,<=50k,198
71,30.48739495798319,11.432773109243698,>50k,40
72,26.0,13.196374622356496,<=50k,290
73,26.0,13.196374622356496,>50k,41
74,30.0,13.333333333333334,<=50k,213
75,30.0,13.333333333333334,>50k,135
76,37.0,3.5714285714285716,<=50k,53
77,37.0,3.5714285714285716,>50k,3
78,38.0,9.0,<=50k,324
79,38.0,9.0,>50k,74
80,39.4798962386511,9.0,<=50k,597
81,39.4798962386511,9.0,>50k,174
82,43.46655518394649,9.0,<=50k,458
83,43.46655518394649,9.0,>50k,140
84,38.0,10.407594936708861,<=50k,287
85,38.0,10.407594936708861,>50k,108
86,43.0,10.351190476190476,<=50k,231
87,43.0,10.351190476190476,>50k,105
88,37.0,13.49240121580547,<=50k,130
89,37.0,13.49240121580547,>50k,199
90,38.0,13.474254742547425,<=50k,153
91,38.0,13.474254742547425,>50k,216
92,39.0,13.516216216216216,<=50k,166
93,39.0,13.516216216216216,>50k,204
94,44.0,13.624,<=50k,156
95,44.0,13.624,>50k,219
96,45.49933065595716,13.613119143239626,<=50k,279
97,45.49933065595716,13.613119143239626,>50k,468
98,47.0,9.0,<=50k,245
99,47.0,9.0,>50k,111
100,47.0,10.375438596491229,<=50k,182
101,47.0,10.375438596491229,>50k,103
102,48.47577092511013,10.396475770925111,<=50k,289
103,48.47577092511013,10.396475770925111,>50k,165
104,47.0,13.65548780487805,<=50k,123
105,47.0,13.65548780487805,>50k,205
106,48.47784200385357,13.641618497109826,<=50k,180
107,48.47784200385357,13.641618497109826,>50k,339
108,50.45634920634921,13.746031746031745,<=50k,162
109,50.45634920634921,13.746031746031745,>50k,342
110,55.0,5.168539325842697,<=50k,82
111,55.0,5.168539325842697,>50k,7
112,55.46666666666667,9.0,<=50k,326
113,55.46666666666667,9.0,>50k,94
114,28.27848101265823,5.0,<=50k,76
115,28.27848101265823,5.0,>50k,3
116,31.410958904109588,3.1095890410958904,<=50k,71
117,31.410958904109588,3.1095890410958904,>50k,2
118,33.0,4.5473684210526315,<=50k,93
119,33.0,4.5473684210526315,>50k,2
120,20.364583333333332,7.333333333333333,<=50k,95
121,20.364583333333332,7.333333333333333,>50k,1
122,24.0,7.2631578947368425,<=50k,55
123,24.0,7.2631578947368425,>50k,2
124,28.489795918367346,7.275510204081633,<=50k,92
125,28.489795918367346,7.275510204081633,>50k,6
